event_id,account_id,user_id,event_type,event_timestamp,creative_id,campaign_id,data_origin
evt_acct_001000_trial_signup,acct_001000,usr_001000,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_013_002,camp_tiktok_001,SYNTHETIC
evt_acct_000127_trial_signup,acct_000127,usr_000127,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_google_024_001,camp_google_001,SYNTHETIC
evt_acct_000127_onboarding,acct_000127,usr_000127,ONBOARDING_COMPLETED,2026-01-06T00:00:00,cr_google_024_001,camp_google_001,SYNTHETIC
evt_acct_000127_profile,acct_000127,usr_000127,PROFILE_CREATED,2026-01-07T00:00:00,cr_google_024_001,camp_google_001,SYNTHETIC
evt_acct_001693_trial_signup,acct_001693,usr_001693,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_019_002,camp_tiktok_003,SYNTHETIC
evt_acct_001601_trial_signup,acct_001601,usr_001601,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_018_003,camp_tiktok_002,SYNTHETIC
evt_acct_001738_trial_signup,acct_001738,usr_001738,TRIAL_SIGNUP,2026-01-05T00:00:00,,,SYNTHETIC
evt_acct_000751_trial_signup,acct_000751,usr_000751,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_meta_006_003,camp_meta_002,SYNTHETIC
evt_acct_000732_trial_signup,acct_000732,usr_000732,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_meta_006_002,camp_meta_002,SYNTHETIC
evt_acct_000717_trial_signup,acct_000717,usr_000717,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_meta_006_001,camp_meta_002,SYNTHETIC
evt_acct_000651_trial_signup,acct_000651,usr_000651,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_000651_onboarding,acct_000651,usr_000651,ONBOARDING_COMPLETED,2026-01-07T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_000651_profile,acct_000651,usr_000651,PROFILE_CREATED,2026-01-08T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_000651_campaign_launched,acct_000651,usr_000651,CAMPAIGN_LAUNCHED,2026-01-09T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_000651_first_customer,acct_000651,usr_000651,FIRST_CUSTOMER_ACQUIRED,2026-01-12T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_000651_subscription,acct_000651,usr_000651,SUBSCRIPTION_STARTED,2026-01-26T00:00:00,cr_meta_004_001,camp_meta_002,SYNTHETIC
evt_acct_001568_trial_signup,acct_001568,usr_001568,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_018_003,camp_tiktok_002,SYNTHETIC
evt_acct_001568_onboarding,acct_001568,usr_001568,ONBOARDING_COMPLETED,2026-01-08T00:00:00,cr_tiktok_018_003,camp_tiktok_002,SYNTHETIC
evt_acct_001568_profile,acct_001568,usr_001568,PROFILE_CREATED,2026-01-09T00:00:00,cr_tiktok_018_003,camp_tiktok_002,SYNTHETIC
evt_acct_001523_trial_signup,acct_001523,usr_001523,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_018_002,camp_tiktok_002,SYNTHETIC
evt_acct_001523_onboarding,acct_001523,usr_001523,ONBOARDING_COMPLETED,2026-01-07T00:00:00,cr_tiktok_018_002,camp_tiktok_002,SYNTHETIC
evt_acct_001523_profile,acct_001523,usr_001523,PROFILE_CREATED,2026-01-08T00:00:00,cr_tiktok_018_002,camp_tiktok_002,SYNTHETIC
evt_acct_001523_campaign_launched,acct_001523,usr_001523,CAMPAIGN_LAUNCHED,2026-01-13T00:00:00,cr_tiktok_018_002,camp_tiktok_002,SYNTHETIC
evt_acct_001876_trial_signup,acct_001876,usr_001876,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_021_001,camp_tiktok_003,SYNTHETIC
evt_acct_000996_trial_signup,acct_000996,usr_000996,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_013_002,camp_tiktok_001,SYNTHETIC
evt_acct_000996_onboarding,acct_000996,usr_000996,ONBOARDING_COMPLETED,2026-01-07T00:00:00,cr_tiktok_013_002,camp_tiktok_001,SYNTHETIC
evt_acct_000996_profile,acct_000996,usr_000996,PROFILE_CREATED,2026-01-08T00:00:00,cr_tiktok_013_002,camp_tiktok_001,SYNTHETIC
evt_acct_000996_campaign_launched,acct_000996,usr_000996,CAMPAIGN_LAUNCHED,2026-01-14T00:00:00,cr_tiktok_013_002,camp_tiktok_001,SYNTHETIC
evt_acct_001634_trial_signup,acct_001634,usr_001634,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_001634_onboarding,acct_001634,usr_001634,ONBOARDING_COMPLETED,2026-01-08T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_001634_profile,acct_001634,usr_001634,PROFILE_CREATED,2026-01-09T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_001634_campaign_launched,acct_001634,usr_001634,CAMPAIGN_LAUNCHED,2026-01-14T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_001634_first_customer,acct_001634,usr_001634,FIRST_CUSTOMER_ACQUIRED,2026-02-12T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_001634_subscription,acct_001634,usr_001634,SUBSCRIPTION_STARTED,2026-02-13T00:00:00,cr_tiktok_019_001,camp_tiktok_003,SYNTHETIC
evt_acct_000296_trial_signup,acct_000296,usr_000296,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_google_026_001,camp_google_002,SYNTHETIC
evt_acct_000343_trial_signup,acct_000343,usr_000343,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_google_026_002,camp_google_002,SYNTHETIC
evt_acct_001257_trial_signup,acct_001257,usr_001257,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001257_onboarding,acct_001257,usr_001257,ONBOARDING_COMPLETED,2026-01-08T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001257_profile,acct_001257,usr_001257,PROFILE_CREATED,2026-01-09T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001257_campaign_launched,acct_001257,usr_001257,CAMPAIGN_LAUNCHED,2026-01-15T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001257_first_customer,acct_001257,usr_001257,FIRST_CUSTOMER_ACQUIRED,2026-02-06T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001257_subscription,acct_001257,usr_001257,SUBSCRIPTION_STARTED,2026-02-07T00:00:00,cr_tiktok_016_002,camp_tiktok_002,SYNTHETIC
evt_acct_001073_trial_signup,acct_001073,usr_001073,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_014_001,camp_tiktok_001,SYNTHETIC
evt_acct_000228_trial_signup,acct_000228,usr_000228,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_google_025_002,camp_google_002,SYNTHETIC
evt_acct_000228_onboarding,acct_000228,usr_000228,ONBOARDING_COMPLETED,2026-01-06T00:00:00,cr_google_025_002,camp_google_002,SYNTHETIC
evt_acct_000228_profile,acct_000228,usr_000228,PROFILE_CREATED,2026-01-07T00:00:00,cr_google_025_002,camp_google_002,SYNTHETIC
evt_acct_001892_trial_signup,acct_001892,usr_001892,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_tiktok_021_001,camp_tiktok_003,SYNTHETIC
evt_acct_000091_trial_signup,acct_000091,usr_000091,TRIAL_SIGNUP,2026-01-05T00:00:00,cr_google_023_002,camp_google_001,SYNTHETIC
