user_id,account_id,event_name,event_timestamp,feature_name,active_users,activation_event
USR_274287,ACC_00366,feature_used,2024-11-20 17:15:00,Analytics,20,False
USR_540151,ACC_00924,feature_used,2024-08-17 20:30:00,Analytics,4,False
USR_116830,ACC_00395,invite_user,2025-09-30 20:28:00,Collaboration,4,False
USR_660305,ACC_01085,activation_completed,2024-02-19 22:46:00,Core Platform,10,True
USR_271544,ACC_01152,feature_used,2025-10-02 02:46:00,Collaboration,17,False
USR_986106,ACC_00923,report_created,2024-10-15 06:00:00,Reporting,23,False
USR_976063,ACC_00001,invite_user,2025-07-30 12:45:00,Collaboration,23,False
USR_343894,ACC_00904,report_created,2024-01-25 20:08:00,Reporting,22,False
USR_263790,ACC_01178,feature_used,2025-07-07 02:01:00,Collaboration,20,False
USR_462552,ACC_00907,login,2025-04-25 14:06:00,Core Platform,9,False
USR_930307,ACC_00766,login,2025-10-09 03:27:00,Core Platform,17,False
USR_324041,ACC_00736,feature_used,2024-05-17 06:56:00,Collaboration,13,False
USR_845709,ACC_00595,feature_used,2024-03-17 16:56:00,Analytics,22,False
USR_665574,ACC_00298,api_call,2025-06-24 07:03:00,API,8,False
USR_690922,ACC_00574,login,2025-05-03 17:54:00,Core Platform,9,False
USR_474987,ACC_01094,login,2025-10-26 09:34:00,Core Platform,15,False
USR_582802,ACC_00103,report_created,2025-07-25 22:57:00,Reporting,4,False
USR_816357,ACC_00155,login,2025-03-07 03:25:00,Core Platform,9,False
USR_264566,ACC_01050,activation_completed,2025-08-25 05:06:00,Core Platform,13,True
USR_771674,ACC_00993,workspace_created,2025-04-30 15:35:00,Workspace,12,False
USR_689722,ACC_00613,invite_user,2024-04-19 23:25:00,Collaboration,16,False
USR_321310,ACC_00432,feature_used,2024-11-08 00:48:00,Automation,22,False
USR_377855,ACC_00134,activation_completed,2024-06-11 14:27:00,Core Platform,11,True
USR_390593,ACC_00809,report_created,2024-03-05 21:22:00,Reporting,22,False
USR_595511,ACC_00647,activation_completed,2024-04-28 20:08:00,Core Platform,15,True
USR_091494,ACC_00967,feature_used,2024-11-10 18:10:00,Collaboration,10,False
USR_691483,ACC_00436,api_call,2025-02-18 12:02:00,API,18,False
USR_648595,ACC_00959,login,2024-10-26 08:14:00,Core Platform,11,False
USR_663408,ACC_01146,feature_used,2025-12-15 15:01:00,Automation,11,False
USR_194900,ACC_00194,workspace_created,2024-10-09 11:52:00,Workspace,8,False
USR_704832,ACC_00918,api_call,2024-12-19 07:40:00,API,12,False
USR_473086,ACC_00734,report_created,2025-04-01 09:57:00,Reporting,15,False
USR_091478,ACC_00490,integration_connected,2024-06-15 03:24:00,API,3,False
USR_915460,ACC_00258,workspace_created,2025-01-09 22:50:00,Workspace,22,False
USR_541921,ACC_00186,login,2024-06-13 03:55:00,Core Platform,5,False
USR_261465,ACC_00135,api_call,2025-10-26 11:46:00,API,2,False
USR_204134,ACC_00320,feature_used,2024-11-28 10:23:00,Automation,11,False
USR_373843,ACC_00617,feature_used,2025-07-07 22:43:00,Automation,9,False
USR_915884,ACC_00646,activation_completed,2024-11-24 11:51:00,Core Platform,9,True
USR_668994,ACC_01186,login,2025-06-05 18:44:00,Core Platform,24,False
USR_398576,ACC_00890,integration_connected,2024-04-02 13:28:00,HubSpot,20,False
USR_988101,ACC_01178,login,2025-10-23 18:37:00,Core Platform,5,False
USR_130828,ACC_00905,api_call,2024-08-11 09:28:00,API,16,False
USR_317501,ACC_00689,report_created,2024-12-16 17:01:00,Reporting,16,False
USR_645674,ACC_00980,api_call,2025-07-08 21:39:00,API,19,False
USR_696883,ACC_00927,api_call,2025-11-02 16:14:00,API,4,False
USR_721636,ACC_00970,login,2025-01-23 09:59:00,Core Platform,18,False
USR_482453,ACC_00300,workspace_created,2024-10-30 09:31:00,Workspace,6,False
USR_946686,ACC_00870,workspace_created,2024-12-11 12:09:00,Workspace,22,False
USR_447008,ACC_00270,integration_connected,2024-07-29 02:26:00,HubSpot,22,False
USR_915239,ACC_00382,workspace_created,2024-10-11 04:08:00,Workspace,17,False
USR_484285,ACC_00848,report_created,2025-08-01 12:05:00,Reporting,19,False
USR_455341,ACC_00607,feature_used,2025-05-26 06:18:00,Automation,23,False
USR_652182,ACC_00944,report_created,2025-08-08 18:47:00,Reporting,24,False
USR_834385,ACC_00865,feature_used,2024-08-13 08:27:00,Collaboration,23,False
USR_029858,ACC_00891,activation_completed,2024-10-27 02:57:00,Core Platform,6,True
USR_322597,ACC_00178,activation_completed,2024-03-08 10:50:00,Core Platform,17,True
USR_175756,ACC_00126,feature_used,2025-04-08 11:21:00,Analytics,10,False
USR_285815,ACC_00299,invite_user,2025-05-30 06:46:00,Collaboration,14,False
USR_429902,ACC_00428,api_call,2025-09-25 06:05:00,API,9,False
USR_106122,ACC_00984,login,2025-10-06 13:42:00,Core Platform,1,False
USR_221284,ACC_00054,report_created,2024-01-21 10:51:00,Reporting,7,False
USR_418380,ACC_00649,feature_used,2024-05-06 17:21:00,Analytics,20,False
USR_430604,ACC_00944,invite_user,2025-07-12 04:52:00,Collaboration,22,False
USR_267243,ACC_00436,invite_user,2024-12-04 19:48:00,Collaboration,1,False
USR_452024,ACC_00375,integration_connected,2024-09-11 16:15:00,API,3,False
USR_578028,ACC_00246,integration_connected,2024-11-29 03:13:00,HubSpot,15,False
USR_881414,ACC_00516,api_call,2025-11-11 15:29:00,API,24,False
USR_707357,ACC_00739,feature_used,2025-12-01 10:44:00,Analytics,16,False
USR_446582,ACC_00695,feature_used,2024-04-11 10:18:00,Analytics,3,False
USR_396231,ACC_01021,report_created,2025-04-18 13:41:00,Reporting,16,False
USR_062437,ACC_00001,invite_user,2025-04-15 06:02:00,Collaboration,19,False
USR_851824,ACC_00352,integration_connected,2024-11-11 22:13:00,HubSpot,15,False
USR_556960,ACC_00425,login,2025-07-08 06:41:00,Core Platform,1,False
USR_053484,ACC_00470,login,2024-05-18 21:54:00,Core Platform,22,False
USR_175471,ACC_00873,feature_used,2024-04-15 04:44:00,Analytics,8,False
USR_174373,ACC_00122,integration_connected,2024-09-13 05:00:00,Slack,15,False
USR_655927,ACC_00344,feature_used,2025-10-01 23:11:00,Analytics,12,False
USR_856302,ACC_00066,feature_used,2024-01-28 14:24:00,Analytics,1,False
USR_803703,ACC_00685,invite_user,2024-10-23 05:31:00,Collaboration,2,False
USR_194968,ACC_01158,invite_user,2025-03-27 11:14:00,Collaboration,11,False
USR_494131,ACC_01173,feature_used,2024-01-23 10:13:00,Analytics,3,False
USR_390215,ACC_00058,api_call,2024-07-17 18:16:00,API,5,False
USR_799049,ACC_00142,feature_used,2025-04-25 12:02:00,Analytics,16,False
USR_439710,ACC_00686,integration_connected,2025-07-18 01:36:00,Slack,10,False
USR_506825,ACC_00322,workspace_created,2024-01-04 16:06:00,Workspace,3,False
USR_539363,ACC_00278,feature_used,2025-05-10 19:49:00,Automation,24,False
USR_170666,ACC_00821,integration_connected,2025-11-16 18:01:00,Salesforce,23,False
USR_666013,ACC_00369,feature_used,2024-12-29 05:04:00,Automation,18,False
USR_570821,ACC_00719,api_call,2025-01-09 09:14:00,API,4,False
USR_270271,ACC_00047,workspace_created,2025-08-02 00:57:00,Workspace,15,False
USR_671937,ACC_01174,login,2025-10-03 12:24:00,Core Platform,18,False
USR_393261,ACC_00102,invite_user,2024-08-03 07:34:00,Collaboration,9,False
USR_459552,ACC_00042,feature_used,2025-05-03 21:36:00,Collaboration,20,False
USR_865965,ACC_00502,workspace_created,2025-06-15 05:50:00,Workspace,19,False
USR_741730,ACC_01054,feature_used,2025-11-16 02:45:00,Automation,9,False
USR_904359,ACC_00766,login,2024-11-03 17:16:00,Core Platform,4,False
USR_680747,ACC_00587,api_call,2025-01-31 10:36:00,API,23,False
USR_073863,ACC_00333,workspace_created,2024-10-04 15:16:00,Workspace,10,False
USR_887182,ACC_00273,activation_completed,2024-08-25 04:32:00,Core Platform,11,True
USR_964383,ACC_00784,workspace_created,2024-09-02 20:58:00,Workspace,20,False
USR_075870,ACC_00605,feature_used,2024-02-28 01:06:00,Automation,8,False
USR_623088,ACC_00736,report_created,2025-06-26 09:29:00,Reporting,21,False
USR_546923,ACC_00495,login,2024-07-04 03:43:00,Core Platform,18,False
USR_196583,ACC_00361,login,2025-03-03 17:11:00,Core Platform,16,False
USR_557291,ACC_00216,login,2025-10-23 05:58:00,Core Platform,9,False
USR_454655,ACC_00351,login,2024-11-05 11:08:00,Core Platform,24,False
USR_525336,ACC_00264,api_call,2025-12-19 13:31:00,API,18,False
USR_556209,ACC_00586,invite_user,2024-02-14 06:22:00,Collaboration,9,False
USR_867901,ACC_00346,feature_used,2024-01-27 18:24:00,Automation,6,False
USR_817310,ACC_00955,report_created,2024-09-03 06:09:00,Reporting,12,False
USR_421672,ACC_00663,integration_connected,2024-07-06 22:34:00,API,6,False
USR_150350,ACC_00367,login,2025-07-18 15:54:00,Core Platform,8,False
USR_854817,ACC_00100,feature_used,2024-05-28 22:59:00,Collaboration,9,False
USR_394633,ACC_00147,activation_completed,2025-08-27 01:36:00,Core Platform,5,True
USR_798573,ACC_00107,login,2025-01-11 21:05:00,Core Platform,17,False
USR_185930,ACC_00387,login,2024-06-22 23:20:00,Core Platform,3,False
USR_162415,ACC_00399,workspace_created,2024-12-01 12:21:00,Workspace,23,False
USR_014749,ACC_00060,report_created,2025-04-14 21:16:00,Reporting,14,False
USR_674866,ACC_00849,invite_user,2025-12-18 10:10:00,Collaboration,19,False
USR_411125,ACC_00635,feature_used,2024-02-16 10:54:00,Collaboration,24,False
USR_879982,ACC_01174,feature_used,2024-09-15 10:48:00,Automation,9,False
USR_353558,ACC_01065,feature_used,2024-11-27 15:19:00,Collaboration,24,False
USR_365887,ACC_00015,invite_user,2025-03-09 23:09:00,Collaboration,11,False
USR_397968,ACC_00840,feature_used,2025-10-05 05:00:00,Collaboration,19,False
USR_324974,ACC_01167,feature_used,2025-08-04 14:08:00,Analytics,13,False
USR_032506,ACC_00962,login,2025-01-07 11:53:00,Core Platform,17,False
USR_345747,ACC_00824,login,2024-01-12 17:53:00,Core Platform,2,False
USR_607575,ACC_00168,activation_completed,2024-06-26 10:46:00,Core Platform,7,True
USR_903357,ACC_01082,feature_used,2025-07-31 01:33:00,Collaboration,12,False
USR_283974,ACC_00987,login,2024-12-17 19:13:00,Core Platform,20,False
USR_495534,ACC_00644,invite_user,2025-05-21 23:22:00,Collaboration,12,False
USR_469943,ACC_01106,activation_completed,2025-05-23 22:47:00,Core Platform,24,True
USR_608685,ACC_00556,login,2025-10-26 12:29:00,Core Platform,15,False
USR_897759,ACC_00640,workspace_created,2024-07-22 08:16:00,Workspace,1,False
USR_788946,ACC_00943,activation_completed,2025-12-05 14:27:00,Core Platform,21,True
USR_738270,ACC_00865,login,2025-06-10 20:04:00,Core Platform,9,False
USR_539887,ACC_00662,workspace_created,2025-02-18 19:23:00,Workspace,23,False
USR_861037,ACC_00940,feature_used,2024-04-09 13:25:00,Collaboration,17,False
USR_055747,ACC_01077,api_call,2025-06-20 02:01:00,API,22,False
USR_170032,ACC_00779,feature_used,2025-11-26 05:58:00,Collaboration,9,False
USR_037520,ACC_01072,feature_used,2025-12-22 00:18:00,Automation,14,False
USR_950060,ACC_00494,api_call,2024-07-05 12:10:00,API,9,False
USR_276070,ACC_00637,invite_user,2025-09-08 22:55:00,Collaboration,23,False
USR_406022,ACC_00779,login,2025-11-22 14:31:00,Core Platform,4,False
USR_395700,ACC_00689,login,2025-03-01 05:07:00,Core Platform,24,False
USR_698912,ACC_00215,integration_connected,2024-02-20 00:55:00,API,13,False
USR_748434,ACC_00548,workspace_created,2024-04-17 02:32:00,Workspace,3,False
USR_635451,ACC_00162,integration_connected,2025-05-23 08:01:00,HubSpot,13,False
USR_944473,ACC_00828,login,2024-09-28 22:27:00,Core Platform,4,False
USR_221756,ACC_00959,invite_user,2025-01-12 01:00:00,Collaboration,8,False
USR_829989,ACC_00819,workspace_created,2025-10-02 09:00:00,Workspace,15,False
USR_566106,ACC_01038,feature_used,2025-03-18 09:26:00,Analytics,7,False
USR_499085,ACC_00781,login,2024-03-01 20:30:00,Core Platform,20,False
USR_893138,ACC_00456,login,2024-11-03 14:42:00,Core Platform,12,False
USR_702694,ACC_00075,report_created,2025-10-10 22:20:00,Reporting,15,False
USR_597986,ACC_00040,report_created,2025-08-30 20:31:00,Reporting,13,False
USR_325490,ACC_01157,invite_user,2025-04-06 04:42:00,Collaboration,12,False
USR_818277,ACC_00935,integration_connected,2024-12-15 14:34:00,HubSpot,12,False
USR_924874,ACC_00403,feature_used,2025-08-14 01:39:00,Collaboration,15,False
USR_483763,ACC_01147,invite_user,2025-01-26 15:51:00,Collaboration,20,False
USR_571429,ACC_00296,login,2024-10-20 00:56:00,Core Platform,8,False
USR_740990,ACC_00927,api_call,2024-04-24 15:16:00,API,2,False
USR_319659,ACC_00254,report_created,2024-08-12 06:37:00,Reporting,17,False
USR_861195,ACC_00852,login,2025-08-07 17:00:00,Core Platform,9,False
USR_426318,ACC_00084,integration_connected,2025-12-09 04:16:00,API,23,False
USR_995698,ACC_00820,activation_completed,2025-03-12 06:42:00,Core Platform,13,True
USR_916942,ACC_00549,feature_used,2025-03-07 21:38:00,Analytics,23,False
USR_849188,ACC_00699,integration_connected,2025-04-25 14:51:00,HubSpot,24,False
USR_192720,ACC_00050,feature_used,2025-05-16 22:17:00,Analytics,20,False
USR_234467,ACC_00444,feature_used,2025-03-23 18:16:00,Collaboration,20,False
USR_009358,ACC_00194,workspace_created,2025-11-08 10:36:00,Workspace,15,False
USR_330932,ACC_00740,login,2025-10-02 08:55:00,Core Platform,21,False
USR_223280,ACC_00007,login,2024-12-13 08:27:00,Core Platform,10,False
USR_454173,ACC_01086,api_call,2024-07-26 11:21:00,API,14,False
USR_960088,ACC_00210,workspace_created,2024-03-01 09:47:00,Workspace,13,False
USR_267004,ACC_00626,report_created,2025-03-10 03:06:00,Reporting,18,False
