customer_id,invoice_id,contract_id,billing_date,billing_amount,payment_status,currency
ACC_00418,INV_0000001,CON_000001,2025-02-18,1637.88,Paid,USD
ACC_00418,INV_0000002,CON_000001,2025-03-18,1637.88,Paid,GBP
ACC_00418,INV_0000003,CON_000001,2025-04-18,1637.88,Paid,USD
ACC_00418,INV_0000004,CON_000001,2025-05-18,1637.88,Paid,USD
ACC_00418,INV_0000005,CON_000001,2025-06-18,1637.88,Paid,GBP
ACC_00418,INV_0000006,CON_000001,2025-07-18,1637.88,Paid,USD
ACC_00418,INV_0000007,CON_000001,2025-08-18,1637.88,Paid,GBP
ACC_00418,INV_0000008,CON_000001,2025-09-18,1637.88,Paid,USD
ACC_00418,INV_0000009,CON_000001,2025-10-18,1637.88,Paid,USD
ACC_00418,INV_0000010,CON_000001,2025-11-18,1637.88,Paid,USD
ACC_00418,INV_0000011,CON_000001,2025-12-18,1637.88,Paid,EUR
ACC_00418,INV_0000012,CON_000001,2026-01-18,1637.88,Failed,USD
ACC_00689,INV_0000013,CON_000003,2024-04-30,2409.55,Paid,USD
ACC_01015,INV_0000014,CON_000004,2025-11-06,2037.4,Paid,USD
ACC_01015,INV_0000015,CON_000004,2025-12-06,2037.4,Paid,EUR
ACC_01015,INV_0000016,CON_000004,2026-01-06,2037.4,Paid,USD
ACC_00963,INV_0000017,CON_000005,2024-08-16,19546.29,Paid,USD
ACC_00256,INV_0000018,CON_000006,2025-02-15,63108.5,Paid,EUR
ACC_00295,INV_0000019,CON_000007,2024-11-18,295.66,Paid,USD
ACC_00295,INV_0000020,CON_000007,2024-12-18,295.66,Paid,USD
ACC_00295,INV_0000021,CON_000007,2025-01-18,295.66,Paid,USD
ACC_00295,INV_0000022,CON_000007,2025-02-18,295.66,Pending,USD
ACC_00295,INV_0000023,CON_000007,2025-03-18,295.66,Failed,USD
ACC_00295,INV_0000024,CON_000007,2025-04-18,295.66,Paid,USD
ACC_00295,INV_0000025,CON_000007,2025-05-18,295.66,Paid,EUR
ACC_00295,INV_0000026,CON_000007,2025-06-18,295.66,Pending,EUR
ACC_00295,INV_0000027,CON_000007,2025-07-18,295.66,Paid,USD
ACC_00295,INV_0000028,CON_000007,2025-08-18,295.66,Paid,EUR
ACC_00295,INV_0000029,CON_000007,2025-09-18,295.66,Paid,GBP
ACC_00295,INV_0000030,CON_000007,2025-10-18,295.66,Paid,USD
ACC_01118,INV_0000031,CON_000008,2026-01-09,10379.9,Paid,EUR
ACC_01163,INV_0000032,CON_000009,2026-01-11,30349.27,Paid,USD
ACC_00884,INV_0000033,CON_000010,2025-07-06,10715.3,Failed,GBP
ACC_00745,INV_0000034,CON_000011,2025-04-16,522.06,Paid,USD
ACC_00745,INV_0000035,CON_000011,2025-05-16,522.06,Paid,EUR
ACC_00745,INV_0000036,CON_000011,2025-06-16,522.06,Paid,USD
ACC_00745,INV_0000037,CON_000011,2025-07-16,522.06,Paid,GBP
ACC_00745,INV_0000038,CON_000011,2025-08-16,522.06,Paid,EUR
ACC_00745,INV_0000039,CON_000011,2025-09-16,522.06,Pending,USD
ACC_00745,INV_0000040,CON_000011,2025-10-16,522.06,Paid,EUR
ACC_00745,INV_0000041,CON_000011,2025-11-16,522.06,Paid,GBP
ACC_00745,INV_0000042,CON_000011,2025-12-16,522.06,Paid,USD
ACC_00745,INV_0000043,CON_000011,2026-01-16,522.06,Paid,EUR
ACC_00034,INV_0000044,CON_000012,2024-09-03,1497.46,Failed,USD
ACC_00034,INV_0000045,CON_000012,2024-10-03,1497.46,Paid,GBP
ACC_00034,INV_0000046,CON_000012,2024-11-03,1497.46,Paid,GBP
ACC_00034,INV_0000047,CON_000012,2024-12-03,1497.46,Paid,USD
ACC_00034,INV_0000048,CON_000012,2025-01-03,1497.46,Paid,GBP
ACC_00034,INV_0000049,CON_000012,2025-02-03,1497.46,Paid,GBP
ACC_00034,INV_0000050,CON_000012,2025-03-03,1497.46,Pending,GBP
ACC_00034,INV_0000051,CON_000012,2025-04-03,1497.46,Paid,USD
ACC_00034,INV_0000052,CON_000012,2025-05-03,1497.46,Paid,GBP
ACC_00034,INV_0000053,CON_000012,2025-06-03,1497.46,Paid,EUR
ACC_00034,INV_0000054,CON_000012,2025-07-03,1497.46,Paid,USD
ACC_00034,INV_0000055,CON_000012,2025-08-03,1497.46,Paid,USD
ACC_00526,INV_0000056,CON_000013,2025-01-22,10443.0,Paid,USD
ACC_00067,INV_0000057,CON_000014,2026-01-20,13044.74,Paid,USD
ACC_00136,INV_0000058,CON_000015,2025-01-17,472.23,Paid,GBP
ACC_00136,INV_0000059,CON_000015,2025-02-17,472.23,Paid,USD
ACC_00136,INV_0000060,CON_000015,2025-03-17,472.23,Paid,GBP
ACC_00136,INV_0000061,CON_000015,2025-04-17,472.23,Paid,GBP
ACC_00136,INV_0000062,CON_000015,2025-05-17,472.23,Paid,USD
ACC_00136,INV_0000063,CON_000015,2025-06-17,472.23,Paid,USD
ACC_00897,INV_0000064,CON_000016,2026-01-05,33350.86,Failed,USD
ACC_00876,INV_0000065,CON_000017,2025-06-26,59068.64,Paid,GBP
ACC_00562,INV_0000066,CON_000018,2025-06-20,3048.31,Paid,USD
ACC_00562,INV_0000067,CON_000018,2025-07-20,3048.31,Paid,EUR
ACC_00562,INV_0000068,CON_000018,2025-08-20,3048.31,Paid,GBP
