date,channel,campaign_id,campaign_name,ad_group_id,ad_group_name,creative_id,persona_segment,impressions,clicks,spend_usd,landing_page_views,trial_signups,data_origin
2026-01-05,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1162,61,19.83,54,2,SYNTHETIC
2026-01-06,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1293,61,19.84,55,2,SYNTHETIC
2026-01-07,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1433,66,19.84,60,3,SYNTHETIC
2026-01-08,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1113,59,19.83,52,2,SYNTHETIC
2026-01-09,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1113,65,19.84,55,3,SYNTHETIC
2026-01-10,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1272,59,19.83,50,2,SYNTHETIC
2026-01-11,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1042,51,19.83,44,1,SYNTHETIC
2026-01-12,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,994,51,19.84,44,2,SYNTHETIC
2026-01-13,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1156,56,19.84,48,1,SYNTHETIC
2026-01-14,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1339,68,19.83,61,3,SYNTHETIC
2026-01-15,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1221,56,19.84,48,1,SYNTHETIC
2026-01-16,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1190,60,19.84,54,2,SYNTHETIC
2026-01-17,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1185,61,19.84,56,3,SYNTHETIC
2026-01-18,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,939,47,19.83,40,2,SYNTHETIC
2026-01-19,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1034,44,19.83,39,1,SYNTHETIC
2026-01-20,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1034,47,19.84,41,2,SYNTHETIC
2026-01-21,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1071,58,19.83,51,3,SYNTHETIC
2026-01-22,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,994,47,19.83,40,2,SYNTHETIC
2026-01-23,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1036,48,19.83,42,1,SYNTHETIC
2026-01-24,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,940,49,19.83,42,1,SYNTHETIC
2026-01-25,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1064,50,19.83,44,1,SYNTHETIC
2026-01-26,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,979,52,19.84,46,2,SYNTHETIC
2026-01-27,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1072,50,19.82,45,1,SYNTHETIC
2026-01-28,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1099,48,19.83,42,2,SYNTHETIC
2026-01-29,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,895,46,19.83,41,2,SYNTHETIC
2026-01-30,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1166,54,19.83,49,2,SYNTHETIC
2026-01-31,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1077,57,19.83,51,2,SYNTHETIC
2026-02-01,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1081,51,19.82,45,2,SYNTHETIC
2026-02-02,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,861,38,19.82,33,1,SYNTHETIC
2026-02-03,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,975,41,19.84,35,1,SYNTHETIC
2026-02-04,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,949,55,19.84,50,2,SYNTHETIC
2026-02-05,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1239,60,19.84,55,3,SYNTHETIC
2026-02-06,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1018,54,19.82,46,1,SYNTHETIC
2026-02-07,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1246,70,19.83,62,2,SYNTHETIC
2026-02-08,META,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,ag_meta_001_001,cr_meta_001_001,SCRAPPY_INDEPENDENT,1112,53,19.83,45,2,SYNTHETIC
