event_id,user_id,org_id,event_name,event_timestamp,event_properties
event_00000001,user_000001,org_00001,signup_completed,2025-08-28T01:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000002,user_000002,org_00002,signup_completed,2025-12-24T06:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000003,user_000005,org_00002,teammate_invited,2026-02-05T15:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000004,user_000006,org_00002,teammate_invited,2026-02-28T05:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000005,user_000009,org_00003,signup_completed,2025-11-28T08:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000006,user_000010,org_00003,teammate_invited,2025-12-17T17:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000007,user_000011,org_00004,signup_completed,2025-10-08T11:00:00,"{""source"":""product"",""variant"":""treatment""}"
event_00000008,user_000014,org_00005,workspace_created,2025-03-17T06:00:00,"{""source"":""onboarding"",""workspace_type"":""team""}"
event_00000009,user_000014,org_00005,project_created,2025-03-16T12:00:00,"{""source"":""onboarding"",""variant"":""treatment""}"
event_00000010,user_000014,org_00005,signup_completed,2025-03-15T08:00:00,"{""source"":""product"",""variant"":""treatment""}"
event_00000011,user_000014,org_00005,project_created,2025-07-12T13:00:00,"{""source"":""product"",""variant"":""treatment""}"
event_00000012,user_000014,org_00005,project_created,2025-04-23T17:00:00,"{""source"":""product"",""variant"":""treatment""}"
event_00000013,user_000016,org_00005,teammate_invited,2025-06-21T23:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000014,user_000017,org_00005,teammate_invited,2025-07-04T10:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000015,user_000018,org_00006,workspace_created,2025-07-06T17:00:00,"{""source"":""onboarding"",""workspace_type"":""team""}"
event_00000016,user_000018,org_00006,project_created,2025-07-08T22:00:00,"{""source"":""onboarding"",""variant"":""control""}"
event_00000017,user_000018,org_00006,signup_completed,2025-07-04T15:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000018,user_000018,org_00006,project_created,2025-10-28T17:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000019,user_000018,org_00006,project_created,2025-08-19T17:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000020,user_000022,org_00006,teammate_invited,2025-10-06T09:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000021,user_000025,org_00007,workspace_created,2025-09-21T04:00:00,"{""source"":""onboarding"",""workspace_type"":""team""}"
event_00000022,user_000025,org_00007,project_created,2025-09-22T02:00:00,"{""source"":""onboarding"",""variant"":""control""}"
event_00000023,user_000025,org_00007,signup_completed,2025-09-21T00:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000024,user_000025,org_00007,project_created,2025-12-27T04:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000025,user_000025,org_00007,project_created,2025-11-01T22:00:00,"{""source"":""product"",""variant"":""control""}"
event_00000026,user_000026,org_00007,teammate_invited,2025-11-15T20:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000027,user_000027,org_00007,teammate_invited,2025-10-27T07:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000028,user_000029,org_00007,teammate_invited,2025-11-16T22:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000029,user_000030,org_00007,teammate_invited,2025-10-25T18:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
event_00000030,user_000031,org_00007,teammate_invited,2025-11-15T11:00:00,"{""invited_by_admin"":true,""source"":""collaboration""}"
